Country,Year,House Price Index,Rent Index,Affordability Ratio,Mortgage Rate (%),Inflation Rate (%),GDP Growth (%),Population Growth (%),Urbanization Rate (%),Construction Index
USA,2015,117.4540119,116.5500014,9.587945476,4.493292421,1.514121163,-0.752043837,-0.796707357,85.98528437,118.0892009
USA,2016,150.8072578,51.4409146,11.72918867,5.662213204,1.880204219,-0.545400262,-0.358084216,69.12726729,111.9805145
USA,2017,123.1945019,70.38603981,8.506676053,2.197469303,2.398940215,0.930894746,0.596244945,83.55527884,85.97390257
USA,2018,131.4234438,91.46901982,3.418053714,4.53772426,1.608406804,-1.479587256,2.32109938,88.96896099,134.6717878
USA,2019,110.4613769,56.83704798,9.158097239,3.700762469,1.293248526,1.961415281,-0.879640176,87.27961206,90.70239853
USA,2020,146.2522284,71.81977533,7.680612191,4.233551397,1.701553961,5.756677022,1.712964882,88.18496825,141.586188
USA,2021,139.7899979,114.5311965,3.796432518,2.479914312,0.793977378,0.602642646,0.360370514,68.14047095,136.2990007
USA,2022,115.6753327,69.66541568,7.884264748,2.204621125,5.714280375,-1.403594851,2.454104278,83.16734308,85.89725452
USA,2023,80.55221171,107.0823,9.361716095,5.14503584,5.513257253,-1.407642786,0.25463005,63.47607179,139.0482741
USA,2024,142.3298127,73.16286174,3.572025153,3.054911609,2.613691593,3.836849427,1.23145115,86.61638228,107.777194
Canada,2015,91.95942459,99.92713511,9.847065438,4.306385988,5.51128667,1.950364771,0.829564903,72.82623055,72.03353014
Canada,2016,90.7891427,52.200043,8.727693701,3.071779905,3.805709493,5.260531791,-0.127477198,72.31148769,130.4440911
Canada,2017,102.8798165,55.38859369,5.607763076,2.306106436,6.54303474,4.464963037,1.216913148,86.14381771,134.2937662
Canada,2018,98.65700589,112.4791299,7.854080177,5.537200776,6.32459345,0.5440278,-0.614818264,66.83805488,104.1686231
Canada,2019,161.8014766,110.2511408,3.062569175,4.053736513,3.21317152,-0.223137516,-0.580471214,70.12845514,145.4327763
Canada,2020,112.3202932,86.31534352,9.32717063,3.318148012,6.816583538,5.69957836,-0.118761965,74.91745518,94.07026479
Canada,2021,108.4840494,52.58208631,8.486079006,4.013395116,0.834611883,0.229171714,2.178930601,67.18685672,81.59158977
Canada,2022,128.945276,118.9955318,5.178497444,4.860677737,5.4505275,-0.098899648,1.54875722,71.03349398,120.5844664
Canada,2023,143.3529711,87.50422789,3.81260793,5.676512478,2.585070422,-0.507851917,-0.857287005,77.7267883,124.2051489
Canada,2024,81.65878289,85.84651408,5.038461977,4.725863952,1.633381789,3.527501905,0.353573712,88.10189966,81.00167553
UK,2015,114.1066351,57.94314649,11.32224256,5.886696767,2.17662058,3.279872368,1.860277701,76.65602435,112.3720463
UK,2016,104.1852291,56.51719375,11.07494182,6.002090286,4.615159472,0.712238328,0.222233511,81.77867037,141.7688208
UK,2017,168.7086424,104.5912882,8.778284815,1.920699825,1.550586642,5.188433508,1.122501709,60.27591155,78.11772343
UK,2018,146.3501769,50.35431087,4.447272463,4.243668947,4.997318785,3.215690076,-0.215057417,81.36537664,88.979927
UK,2019,112.5399698,102.2543984,8.846696091,5.746117052,4.7744838,2.546468827,-0.672138313,71.03147409,91.21618941
UK,2020,104.3989643,118.1107388,6.537879522,5.960232776,4.602401069,4.358490428,0.759229826,77.30711654,109.4014155
UK,2021,99.52429878,100.5716481,5.526951262,1.621579832,4.695569923,-0.583114565,2.291605045,88.61785731,143.1891512
UK,2022,117.01587,51.08196316,11.35486706,3.640920742,6.783256324,5.708959817,1.985533094,68.83346676,100.8078183
UK,2023,165.1136672,72.18454036,4.52543472,4.284006312,6.585006032,3.568238373,0.995214095,62.91529481,119.2005781
UK,2024,179.005385,59.80588107,7.664966871,5.88686536,5.314996015,3.576125928,1.458694294,70.78473454,93.48734754
Germany,2015,160.9361155,106.7079376,10.80365087,6.066202763,3.823725593,2.012130357,1.794033126,79.49891792,126.1573502
Germany,2016,159.5792669,112.3003739,6.041956412,3.377914763,1.110882609,2.626241128,-0.874202042,73.96794054,113.4115708
Germany,2017,108.6541252,91.35832824,3.274502249,1.686740944,5.846903644,0.881525131,-0.555288206,75.6672978,131.5994842
Germany,2018,101.5821027,93.60233331,3.768127185,1.758408606,3.953805105,2.325080973,1.231004655,81.78274001,148.0681664
Germany,2019,131.6300348,72.60695311,10.15667575,2.854161256,3.353314235,-1.372348949,-0.911272398,88.87945244,136.8784096
Germany,2020,149.5974206,78.62670611,4.559648881,2.282185213,2.126578838,2.393813318,1.501085729,79.8059213,92.39471176
Germany,2021,175.4865281,101.6527842,7.989186473,4.558603731,3.227400406,-0.018152084,0.245904375,82.73538331,71.15147909
Germany,2022,91.60726405,53.22018494,3.366559221,5.77730292,5.073776086,1.793390633,-0.657580438,74.74847625,107.8777417
Germany,2023,97.32018699,80.36961545,6.58654261,4.57925049,4.628108731,-1.637567922,0.311144151,78.77579747,110.2509007
Germany,2024,165.6489841,96.10855421,4.466409844,1.852843737,4.675725308,-1.787909516,1.050214534,88.20690724,116.0379342
France,2015,118.8169926,95.03017529,7.124276014,4.228083947,6.619521257,1.088821102,2.364166973,87.16051926,85.66329078
France,2016,86.93613009,57.0544601,3.163996431,1.972214804,4.939544027,-1.430490812,0.116414706,85.34625933,71.86175486
France,2017,161.4468483,69.72983423,4.063483449,4.983685827,4.588128504,5.019776108,1.572748653,84.10442791,92.56276581
France,2018,97.74395438,102.5430326,10.26151265,6.45252571,3.1820149,0.976144686,1.717445363,70.22410621,144.460586
France,2019,165.8412752,80.02958192,9.75783961,5.27271437,1.170305147,5.220423253,0.768383304,84.79372398,95.60396808
France,2020,169.5523228,77.24411751,3.097538863,6.026909882,1.093363399,0.554509101,2.325216885,88.51821441,115.875031
France,2021,143.1837212,81.39118654,5.638896945,3.143322727,4.871369965,4.018996236,1.770526653,83.68854428,77.29648824
France,2022,129.4420305,54.0291132,7.945759941,3.707652507,6.270077188,0.8073201,-0.590265443,64.28975046,130.9208505
France,2023,141.8218063,57.07858733,3.756961255,5.004845657,0.972959541,4.574880474,1.471847795,62.44046342,76.78701713
France,2024,178.6639579,76.1989557,6.335779324,5.563997836,6.657115753,5.888008511,1.636823648,71.28778757,76.68005734
Italy,2015,157.7146916,89.08829748,6.817998083,6.031771925,1.222783635,1.941000834,-0.960262243,74.05981926,74.50426205
Italy,2016,91.88179163,58.22683727,8.842892719,5.230224396,4.291896973,5.697380388,0.312047028,68.57136259,139.4879303
Italy,2017,102.3595839,117.4255778,3.109390272,6.349394134,0.780539428,5.12914491,0.846953882,89.78894388,75.90372518
Italy,2018,135.3854284,117.8511775,7.707880598,4.646993191,5.022366478,1.636328518,1.19645328,77.52942936,142.0926408
Italy,2019,84.54463803,69.66742327,11.55370336,5.951318919,3.461768893,2.961060782,-0.02916586,65.64363479,107.0958724
Italy,2020,115.3352228,90.85592783,3.699611733,6.371974038,6.910369839,3.585293712,0.876337282,69.28582849,135.1036016
Italy,2021,148.4731173,61.38318575,11.19834466,5.612686215,6.673699436,3.805756067,1.146953186,72.54729109,144.6182787
Italy,2022,166.606389,53.16530691,3.23730277,3.382316834,5.76859665,5.898209035,-0.473540881,77.82392146,100.4712685
Italy,2023,176.9914398,108.9483246,10.54495834,3.843465799,3.196326765,0.187256575,-0.802685762,85.94167129,135.0320807
Italy,2024,179.9717673,119.7645786,7.99888535,5.344937076,6.640977244,4.797179125,-0.134281644,73.51632406,80.33275321
Spain,2015,175.4051027,92.43222441,5.05778525,4.858503422,4.517833563,0.865301744,-0.602548427,80.14719587,111.6246161
Spain,2016,157.2318392,86.41144508,10.6696335,4.259534194,4.146096815,5.013228821,0.412190032,64.02045685,72.30261411
Spain,2017,155.5137256,93.42166859,9.336717913,2.564820808,1.386414591,-1.883642675,0.227056456,77.69753061,101.3795236
Spain,2018,123.7474922,113.2911086,6.134299203,4.069947446,5.593744583,1.172342259,1.177303451,85.87091126,145.9616499
Spain,2019,94.70734809,114.8611338,7.429046638,2.791221941,3.484382416,5.840260602,0.724163329,69.86254831,120.6720683
Spain,2020,104.0145619,55.31043297,4.159917497,2.140229195,1.487367508,-0.889382619,1.243061607,65.45640253,97.65338267
Spain,2021,169.678841,83.17731482,9.008019647,2.361599356,1.749878622,-1.67305107,-0.408727279,68.35771017,84.16083874
Spain,2022,88.87025338,58.44451098,7.147008912,2.531668592,2.867754097,2.027338167,1.4163819,61.1793642,133.9528319
Spain,2023,142.7900389,55.72313224,10.86220762,6.104362003,0.897006739,0.215021185,1.821704479,82.44779071,84.76168155
Spain,2024,100.9349323,75.9330472,7.360706867,4.591273858,2.897938657,1.700277729,1.616148283,61.10049609,90.19495555
Australia,2015,151.3349586,112.6644786,7.605096979,4.160567426,1.196618074,1.579298935,0.864160433,67.27411511,91.53945848
Australia,2016,117.7284163,51.40498384,5.89871249,2.557240035,2.628732789,-1.041902945,2.116845483,77.80777361,124.3281855
Australia,2017,158.9171239,84.89095393,3.782282593,4.185532709,4.314467267,3.963515793,0.510808412,63.82740908,92.70207246
Australia,2018,116.3082296,95.21420689,8.137004742,3.280483629,6.912349117,2.846198555,-0.169706229,63.05347418,82.22873113
Australia,2019,104.5957728,61.24769613,4.679103216,2.925475843,1.626928369,5.174123397,-0.71918189,75.73534169,102.8317462
Australia,2020,178.2378617,57.84272315,6.580700391,6.347352166,6.125796318,4.536576568,-0.097340105,65.12662762,123.4914576
Australia,2021,172.9375989,88.97340251,8.144514205,2.899895468,5.501704066,-0.503650012,0.132877327,72.76309316,110.6088303
Australia,2022,104.2409732,58.03857773,8.495580382,2.943152766,4.278048439,-0.765098278,0.683990356,75.97768298,74.14588295
Australia,2023,113.6604278,59.40902739,3.570374734,6.449801162,2.595299992,4.478995567,-0.108757708,80.44508167,130.8182288
Australia,2024,139.5638741,83.0103332,6.706568227,3.244341333,6.541939438,4.644955262,2.377594187,63.7289167,128.469398
India,2015,173.8340457,62.68631463,3.598466406,5.205603246,4.234075236,4.734630214,-0.510796682,83.85801936,86.1301856
India,2016,96.36559429,61.49860586,10.33117248,4.825986103,3.899925261,0.870643873,2.070201893,71.77335322,135.3279552
India,2017,123.9134909,76.38611006,7.164118071,3.006889371,5.359460971,2.021763121,-0.187255567,86.9872372,100.7112977
India,2018,134.3552861,113.4530478,8.618141963,2.084490204,6.608908803,3.021664425,0.172169651,64.17816218,133.5220151
India,2019,142.0072756,87.34227644,11.04503325,5.442986056,1.485886718,0.493776542,-0.130288011,82.31838878,72.68259478
India,2020,136.9889685,103.372108,10.89089073,3.210408744,5.83817248,-1.114946104,1.962583021,63.82465987,101.7829832
India,2021,159.7295366,60.49421991,5.063262557,5.111262842,5.180237488,3.129181063,1.428819556,76.2817333,90.14392471
India,2022,114.5695994,62.71184018,11.17605505,4.416958974,3.105534209,1.696046429,2.315491689,64.60054209,116.8983866
India,2023,130.5888679,92.80179648,3.162991654,5.860619545,6.558768836,2.521065469,1.438277884,87.67498144,126.5790907
India,2024,95.25390429,90.34018521,8.460435417,3.620653357,5.286887532,5.474936118,2.239489795,73.52518114,79.05904367
China,2015,178.4841199,108.7228661,4.121964131,6.104209413,6.154326353,2.150704457,1.069464025,71.97008112,74.38093111
China,2016,113.5197242,106.1997414,3.041688207,3.167495858,3.088096508,2.299164824,2.219494657,70.39037983,97.75625615
China,2017,153.7501248,81.65525586,5.021443406,3.762197581,1.415570632,-0.588904108,0.744287205,72.56776349,143.1876721
China,2018,116.2393899,90.64118452,8.690378591,1.565472283,4.812992918,-0.575712265,2.363746111,64.45988183,103.1699299
China,2019,88.53496681,119.7811976,7.519755093,4.476925087,0.935997103,3.999683763,-0.265330424,86.94162868,86.41117124
China,2020,99.06877207,52.55847675,7.248602506,4.324205666,0.927106156,4.204220934,0.586510922,75.73170808,105.2610198
China,2021,120.0763061,89.17482319,4.397162213,2.409640652,6.101606537,5.568923697,0.306582607,68.12234019,121.5199635
China,2022,120.8734171,51.7770449,4.405373376,5.079861144,4.783005622,-1.78323206,-0.223097433,66.9322439,123.7514195
China,2023,81.97105378,57.28760074,10.19924477,2.39272331,4.742849701,-0.094537752,-0.651955125,67.29516573,127.7813545
China,2024,165.5696468,108.1153905,6.574651767,4.840425683,1.83239792,0.345181842,2.137175365,60.39005771,76.84068247
Japan,2015,100.7886255,51.85725427,4.632918916,4.415207805,3.239259579,5.141373689,1.861052466,70.25452055,90.75387467
Japan,2016,117.9692408,91.32064598,5.412572767,4.620744539,3.161175739,2.416377447,0.526442852,68.83397279,145.8762646
Japan,2017,156.3605794,59.8079223,10.81621178,3.937155991,6.314589475,4.398842048,0.488247266,60.67407925,91.49418875
Japan,2018,134.1634215,94.34347539,5.320989169,2.19678037,5.927046539,5.875217446,0.839915638,65.15037858,91.78458612
Japan,2019,81.83906765,114.0009165,4.059759746,4.382582378,2.281358934,2.43342402,1.279971359,84.89225411,86.51370174
Japan,2020,81.09958287,59.5819941,11.10016778,5.869450388,4.383185164,2.804134883,1.327628361,65.26113836,143.1529557
Japan,2021,121.8770525,76.81969698,7.670259348,1.734829834,1.580841897,3.904268931,-0.710204662,78.09456328,89.62792877
Japan,2022,118.9295614,70.20856157,6.201054448,5.095229526,2.431291152,2.531237122,0.666176408,79.91013496,144.9463791
Japan,2023,153.2572097,65.0458265,3.280648216,2.811320221,4.36800655,-1.588593492,0.737281865,77.90528547,96.73951127
Japan,2024,157.0912204,57.46187772,3.676240036,5.140943781,3.720693555,3.507219171,0.521895685,67.392061,135.5281854
Brazil,2015,159.9415879,98.62875296,5.449306235,4.451153334,2.84633033,-1.267343413,2.210597514,64.10455893,146.0189883
Brazil,2016,124.6005773,62.95930502,7.877108526,5.864729179,5.259461762,4.452489183,1.305741783,80.76829694,137.9356521
Brazil,2017,104.9668009,84.25974746,4.990884976,6.43834004,6.636385708,-1.684585509,1.469513104,87.75744952,84.44602761
Brazil,2018,136.7945231,114.0841808,3.305513807,4.987101336,2.432768548,5.395169563,2.398703858,88.32799467,107.9371373
Brazil,2019,166.2042651,109.1184579,5.871904259,5.644577371,0.740549626,2.770159028,-0.194969069,63.61700657,76.15625613
Brazil,2020,149.6288776,73.79124746,9.522900944,1.826781704,2.549387196,2.315930339,1.767531077,69.56257509,120.0713101
Brazil,2021,168.5977748,93.11042317,5.096635273,1.622003908,6.15564268,-1.829844713,2.061455854,75.86811402,145.1254159
Brazil,2022,159.8783236,119.8553877,6.156406339,5.335941445,3.112550938,1.839004962,1.196269121,86.21031343,148.7266775
Brazil,2023,156.8273414,79.24367475,6.79221302,5.187911508,2.052051447,-1.116207095,0.241177552,68.61716975,93.70464964
Brazil,2024,103.3607751,52.94652327,3.160865413,6.438611949,3.280525369,1.074613177,1.378765489,66.54761664,145.9968947
South Korea,2015,158.6345014,56.25877016,6.758226982,5.895591538,6.640758145,1.73921209,1.146939862,65.01101838,149.2934901
South Korea,2016,103.1671701,115.9912242,8.846819841,4.538683974,3.832475322,-0.154641506,-0.382151888,66.61458627,84.91506097
South Korea,2017,157.9584474,74.50876814,3.520584089,6.345513151,6.244608252,5.422018266,2.482177379,65.21685748,101.6993615
South Korea,2018,155.8238476,98.72144326,4.385063157,5.579165625,1.958863717,-0.209459081,0.87941048,77.78819805,116.4068966
South Korea,2019,89.14868374,111.4222604,5.390400383,2.147574606,6.276862519,5.645211986,2.01744666,84.28548224,122.4193585
South Korea,2020,135.0857371,56.08907319,6.676078918,3.363442585,2.188399594,3.78736091,0.735565073,62.43138648,87.61465616
South Korea,2021,148.3258764,55.32916016,10.66086223,3.975732635,3.623812753,2.739262277,1.886383381,70.43427624,124.2412922
South Korea,2022,136.5731964,68.69197891,10.90766988,5.487130108,4.779936925,4.804653833,2.035529703,81.2508893,136.9610663
South Korea,2023,149.7471462,97.60985402,8.567502404,5.263583198,1.530933184,5.046966074,2.051452347,60.87741849,136.06534
South Korea,2024,92.88698675,73.4583198,9.691574307,2.30379948,5.816785657,4.657073424,0.776137068,60.19157615,92.96305065
Mexico,2015,141.6926918,118.6830325,8.686321743,2.799017905,4.62103707,2.319883038,1.729458883,63.20941916,130.8822322
Mexico,2016,134.1266579,117.4094403,6.076849494,4.663109466,6.558182686,-1.179922176,2.280299705,80.63657167,75.42696473
Mexico,2017,110.0963567,99.57204621,3.606155413,4.410852301,2.74823987,2.967324142,-0.839902882,86.14610418,147.8791175
Mexico,2018,176.8877855,102.4756282,4.170776161,5.29131598,0.659814957,-1.823011588,0.132635767,74.65929571,131.6325934
Mexico,2019,148.3295377,81.21318945,5.462639997,6.485622501,3.270178465,1.611096195,-0.427316626,83.84428646,125.4945781
Mexico,2020,102.0769613,55.76667319,9.124493719,4.772556071,2.276186925,5.606908498,-0.471297379,72.97004403,145.4892736
Mexico,2021,121.9727317,94.69681634,6.578349582,2.871076012,6.895854712,1.274672051,2.129347213,66.89863818,87.04837632
Mexico,2022,83.11340829,95.61667778,6.316737094,5.821791249,3.575864393,5.745547423,-0.350660695,86.05869504,132.1277482
Mexico,2023,157.0921845,109.134826,9.849215918,4.631101608,1.353091705,-1.739790564,2.222967467,78.49950944,133.7229833
Mexico,2024,128.1522352,58.21157323,4.12667213,4.927826436,3.296988317,-0.395802186,0.720580914,61.92626811,116.5577122
South Africa,2015,106.8993404,105.829137,5.79325763,3.776100745,0.575533509,-1.420424898,0.373727447,74.39816504,118.0016438
South Africa,2016,109.1662579,98.64873203,10.74110157,5.399254944,0.757522365,1.844055578,-0.632744376,67.26135048,148.9330075
South Africa,2017,94.24955429,84.92217074,8.563401609,5.012324853,4.137716443,-1.921833221,0.142614579,75.5313493,77.02931993
South Africa,2018,115.0626931,52.32421762,3.707206474,3.484616381,1.362652401,2.540326786,1.413127392,84.01760097,86.01201954
South Africa,2019,96.74825823,57.31974882,8.727872246,5.032378632,0.705309941,5.48969797,-0.818100507,76.23889006,126.7248416
South Africa,2020,167.0969124,99.98608525,10.21555275,3.197250963,5.796363239,-1.359081229,2.131858296,76.42777128,135.3838216
South Africa,2021,125.2318285,95.05043866,7.737623948,5.157947609,1.030594883,-1.517183328,-0.135138681,64.7863404,139.7426853
South Africa,2022,101.9213987,118.3105679,6.032062126,2.410589578,5.633040296,3.269662204,0.743685008,76.66090653,127.5361423
South Africa,2023,102.8454741,119.7433741,11.77313846,4.751628432,1.797025931,3.441825939,-0.747305569,60.91957507,90.61463108
South Africa,2024,126.2622957,110.7790754,9.544521628,5.213532606,3.265706674,0.76747994,0.29863567,89.62948691,73.20873531
Russia,2015,166.7031496,90.5072786,6.947538773,5.126288302,3.663348119,4.987385905,2.152456524,72.65162781,92.14622378
Russia,2016,139.2350329,113.8654342,4.895959701,4.614832918,4.605141431,3.864904179,-0.539513102,81.47474894,142.7226017
Russia,2017,97.96831089,66.62803274,11.74255585,2.404884764,6.053503107,1.938222852,-0.13469124,86.12249704,105.6244204
Russia,2018,131.4817354,75.14633586,8.336557663,2.317619363,3.042029988,5.755298579,-0.096532986,79.70209994,96.01520514
Russia,2019,157.3473126,59.16115625,11.72838941,3.768947707,2.034328012,-1.412026021,-0.405847332,75.59321846,96.96025411
Russia,2020,162.8883366,80.16212666,5.238428453,4.585724933,5.09405191,-0.663664737,-0.413332743,61.10014281,128.9121612
Russia,2021,146.3804528,83.2241613,10.59753404,5.528350765,4.304803369,4.946170244,-0.279555765,63.35758858,91.57996892
Russia,2022,85.70868561,87.18186696,11.42945123,1.696717703,1.293714441,1.617592226,2.268562561,69.48468315,110.5787847
Russia,2023,84.15728591,60.38402407,11.87967111,6.325593482,0.532109876,5.614494283,1.236919782,86.03754884,106.3791885
Russia,2024,131.5596029,84.21926062,9.001778318,2.198256274,0.694828334,0.463439533,1.46638267,66.05560356,123.8745947
Netherlands,2015,176.9912046,56.57305011,9.053419064,3.718751097,6.142924653,-0.582801684,1.424190833,85.14345869,145.5691376
Netherlands,2016,148.3248028,84.80223348,8.560625162,5.844524922,4.208963353,-1.756903522,2.258320434,80.68580253,124.1210709
Netherlands,2017,101.5675152,96.12198292,6.544779651,4.756164885,1.192854697,3.262762437,2.49794804,61.44636117,148.1739347
Netherlands,2018,120.6907961,110.9527415,10.04146936,4.335081305,5.29991986,5.02812449,0.414491126,69.81099485,123.4074708
Netherlands,2019,160.7845942,103.3599594,10.18032284,3.677916574,5.815922405,-1.038327557,0.905711843,60.17275981,95.96686639
Netherlands,2020,116.6461535,77.73208841,9.25920486,3.442790506,3.416508547,-0.099646953,0.306381271,66.81808882,75.8556739
Netherlands,2021,140.3448593,96.7748959,8.575413114,3.817470219,2.968607571,4.906669197,0.816786248,74.37545633,72.05136526
Netherlands,2022,114.1247828,76.61369332,6.589405028,4.400861846,3.968416554,2.863240742,1.677091415,84.38957216,127.4498461
Netherlands,2023,175.5523696,51.27628079,4.762001871,1.537814375,4.708585642,5.184244392,-0.147811962,87.81103634,74.82139122
Netherlands,2024,173.4436027,74.61358811,3.912787456,3.929358796,2.16904769,0.278983216,0.075514877,84.09077693,113.1329021
Sweden,2015,111.1307699,92.72336483,9.445356068,2.863120004,3.18806916,-1.024911253,-0.365977277,80.43353562,84.51506782
Sweden,2016,132.5163384,99.63323832,3.961892308,4.336561098,2.167658094,5.703415002,0.692409764,84.17977649,114.0181234
Sweden,2017,84.34125329,94.32059629,11.56263008,4.508059101,5.824727586,5.073651707,-0.201720798,66.3613452,118.8784791
Sweden,2018,121.102847,108.7902912,11.10020811,3.267106897,2.039658633,4.244204122,-0.038178876,84.67842956,103.8990603
Sweden,2019,146.7549899,56.68747197,8.614733922,3.758838394,4.312955011,-0.655886338,1.579058107,85.88391233,87.33918401
Sweden,2020,89.57145555,51.65470102,8.777743504,4.53547018,4.053533183,-0.144423231,0.368170986,77.83429006,109.7413487
Sweden,2021,178.778552,59.55078268,9.256300986,3.521593841,3.283297497,3.740782125,1.42352653,89.73767981,80.27154316
Sweden,2022,90.41096494,100.7037172,8.205482253,2.870803333,1.016225898,-1.314734003,2.129668061,65.75601974,95.86972497
Sweden,2023,102.6656402,74.84974141,3.624814585,4.095298955,0.939481663,4.402852063,-0.182007713,76.20035744,140.406327
Sweden,2024,145.0877369,87.30704506,5.919003778,3.165009565,4.851665209,5.95311489,1.316437164,76.73350252,128.4520408
Switzerland,2015,126.5205612,54.20996398,8.060671343,6.288126423,1.639469125,3.520039127,-0.29673209,76.07483053,77.73411597
Switzerland,2016,125.0370936,102.931433,6.128143718,4.824558622,5.670424745,5.417422556,-0.178752714,71.97947747,82.19328107
Switzerland,2017,179.2483502,114.8900678,7.859614173,5.710166472,3.886226852,2.988685504,-0.688064488,82.65811261,80.21707869
Switzerland,2018,162.606763,104.7419661,9.37870228,1.680801903,2.470334314,0.104900559,0.260477426,62.6292824,144.9566258
Switzerland,2019,135.3802241,71.38670175,6.572833654,3.736012703,4.403863167,2.125435422,2.217871906,74.90890449,149.3726412
Switzerland,2020,165.1424958,64.59573601,11.37535693,2.081831989,5.813423105,1.044986348,2.072910122,86.0417007,134.474032
Switzerland,2021,159.0030436,71.32753974,3.728273547,3.514900894,1.627909347,3.559608711,0.211349043,89.26830603,121.2777662
Switzerland,2022,162.2480564,59.27672709,10.75813034,6.113785953,3.665902472,2.850023502,1.676834303,65.24515882,110.2052861
Switzerland,2023,119.8663028,60.24617945,6.307809801,1.840861547,0.667777395,-0.918669687,2.370902891,76.48588608,147.2657729
Switzerland,2024,123.2497878,71.82712932,7.555276766,3.697558443,1.186820448,3.126610518,-0.243866361,78.58763865,122.0160874
UAE,2015,95.20248531,54.2944739,10.02685427,3.799002119,0.878064671,5.958930537,-0.797768037,80.85105687,148.694314
UAE,2016,103.9180104,59.95745581,4.092464455,3.016375738,1.156797772,3.537290734,-0.781978707,75.28266384,149.7357483
UAE,2017,161.397027,93.06536068,5.756282587,4.619479181,3.925769515,1.408667071,-0.542513681,86.59812646,105.9827719
UAE,2018,99.46225118,75.74315456,6.727167773,5.637689478,5.268493474,4.154439149,-0.961390574,72.48461995,108.5075321
UAE,2019,81.91922768,68.18692461,9.842608408,2.185548529,3.979515854,-0.278385024,-0.957577289,67.23604373,148.0699004
UAE,2020,160.1537112,117.1703651,7.390686395,2.048680993,4.061736678,1.635018676,1.95524979,62.94247742,109.059291
UAE,2021,95.00486647,72.72731488,9.636213696,3.880090647,2.943273853,1.155810229,0.608063689,83.55049632,141.3667751
UAE,2022,175.5334687,105.083237,5.838662062,4.94067353,3.344420306,0.037364976,1.943050528,61.15279047,142.1409594
UAE,2023,126.1477465,94.60410338,8.9341853,5.975588704,4.638352934,2.911468678,-0.766717858,75.55224066,82.01352007
UAE,2024,153.7433769,85.85553446,9.122050013,1.708364503,1.051148104,3.730587105,-0.747704824,62.13770183,70.96867802
